"","faa","lat","lon"
"1","04G",41.1304722,-80.6195833
"2","06A",32.4605722,-85.6800278
"3","06C",41.9893408,-88.1012428
"4","06N",41.431912,-74.3915611
"5","09J",31.0744722,-81.4277778
"6","0A9",36.3712222,-82.1734167
"7","0G6",41.4673056,-84.5067778
"8","0G7",42.8835647,-76.7812318
"9","0P2",39.7948244,-76.6471914
"10","0S9",48.0538086,-122.8106436
"11","0W3",39.5668378,-76.2024028
"12","10C",42.4028889,-88.3751111
"13","17G",40.7815556,-82.9748056
"14","19A",34.1758638,-83.5615972
"15","1A3",35.0158056,-84.3468333
"16","1B9",42.0001331,-71.1967714
"17","1C9",54.0133333333333,-124.768333333333
"18","1CS",41.6959744,-88.1292306
"19","1G3",41.1513889,-81.4151111
"20","1G4",35.899904,-113.815674
"21","1H2",39.07,-88.534
"22","1OH",40.5553253,-84.3866186
"23","1RL",48.9797222,-123.0788889
"24","23M",32.0517,-88.4434
"25","24C",42.95392,-85.3439058
"26","24J",30.300125,-83.0246944
"27","25D",45.2477456,-92.9943853
"28","29D",41.1460278,-80.16775
"29","2A0",35.48625,-84.9310833
"30","2B2",42.7953611,-70.8394444
"31","2G2",40.3602179,-80.7008742
"32","2G9",40.0388708,-79.0149951
"33","2H0",39.410556,-88.845556
"34","2J9",30.5978708,-84.557425
"35","369",60.866667,-162.273056
"36","36U",40.4818056,-111.4288056
"37","38W",48.9558961,-122.4581183
"38","3D2",45.1354167,-87.1879444
"39","3G3",41.0031572,-81.7564401
"40","3G4",40.9029722,-82.2556389
"41","3J1",32.4934167,-80.99175
"42","3W2",41.3521,-82.497
"43","40J",30.0692778,-83.5805833
"44","41N",41.2111675,-80.9692572
"45","47A",34.3122175,-84.4221556
"46","49A",34.6282222,-84.5265833
"47","49X",34.528889,-114.431971
"48","4A4",34.0186944,-85.1464722
"49","4A7",33.389099,-84.332397
"50","4A9",34.4736944,-85.7213889
"51","4B8",41.6893333,-72.8646944
"52","4G0",40.4526389,-79.7749167
"53","4G2",42.7008925,-78.9147569
"54","4G4",40.9617953,-80.6773264
"55","4I7",39.6335556,-86.8138056
"56","4U9",44.7357483,-112.7200133
"57","52A",33.612125,-83.4604444
"58","54J",30.7311111,-86.1537778
"59","55J",30.6118333,-81.4611944
"60","55S",46.3625,-121.4067
"61","57C",42.7971667,-88.3726111
"62","5B2",43.050722,-73.861638
"63","60J",33.9085056,-78.4366722
"64","6A2",33.2269722,-84.2749444
"65","6J4",33.5561,-81.4768
"66","6K8",63.329444,-142.953611
"67","6S0",45.8063889,-109.9811111
"68","6S2",43.9828168,-124.1113687
"69","6Y8",45.721111,-85.520278
"70","70J",30.8879767,-84.1547353
"71","70N",41.3473569,-75.4158972
"72","7A4",42.4664444,-90.1693889
"73","7D9",41.7778322,-80.9039797
"74","7N7",39.7355633,-75.3977211
"75","8M8",44.8065278,-84.2761944
"76","93C",43.2833575,-90.2982819
"77","99N",33.3045278,-81.1084167
"78","9A1",33.6323083,-83.8474472
"79","9A5",34.6884792,-85.2903319
"80","9G1",40.6035463,-79.8261189
"81","A39",32.99169921875,-111.920997619629
"82","A50",38.87,-104.41
"83","AAF",29.7276066,-85.0274416
"84","AAP",29.43,-95.35
"85","ABE",40.652083,-75.440806
"86","ABI",32.411319,-99.681897
"87","ABL",67.106389,-157.8575
"88","ABQ",35.0402222,-106.6091944
"89","ABR",45.4491,-98.4218
"90","ABY",31.5355,-84.1945
"91","ACJ",32.0665,-84.1133
"92","ACK",41.253053,-70.060181
"93","ACT",31.611289,-97.230519
"94","ACV",40.978111,-124.108611
"95","ACY",39.457583,-74.577167
"96","ADK",51.878,-176.646
"97","ADM",34.300833,-97.008889
"98","ADQ",57.749967,-152.493856
"99","ADS",32.9685594,-96.8364478
"100","ADW",38.810806,-76.867028
"101","AET",66.5519,-152.6222
"102","AEX",31.3274,-92.549833
"103","AFE",56.961389,-133.910278
"104","AFW",32.987778,-97.318889
"105","AGC",40.3544,-79.9302
"106","AGN",57.503611,-134.585
"107","AGS",33.369944,-81.9645
"108","AHN",33.9486,-83.3263
"109","AIA",42.053333,-102.803889
"110","AIK",33.6493889,-81.6850278
"111","AIN",70.638056,-159.994722
"112","AIZ",38.096035,-92.5494875
"113","AKB",52.220278,-174.206389
"114","AKC",41.0375,-81.466917
"115","AKI",60.902778,-161.230556
"116","AKK",56.938611,-154.1825
"117","AKN",58.676778,-156.649278
"118","AKP",68.1336,-151.743
"119","ALB",42.748267,-73.801692
"120","ALI",27.740889,-98.026944
"121","ALM",32.8399,-105.991
"122","ALO",42.5571,-92.4003
"123","ALS",37.435,-105.866667
"124","ALW",46.0949,-118.288
"125","ALX",38.806346,-77.0621
"126","ALZ",56.899444,-154.247778
"127","AMA",35.219369,-101.705931
"128","ANB",33.588167,-85.858111
"129","ANC",61.174361,-149.996361
"130","AND",34.494583,-82.709389
"131","ANI",61.5816,-159.543
"132","ANN",55.042436,-131.572233
"133","ANP",38.942778,-76.568333
"134","ANQ",41.6396983,-85.0834933
"135","ANV",62.6467,-160.191
"136","AOH",40.707478,-84.0270781
"137","AOO",40.296372,-78.320022
"138","AOS",57.471389,-153.815278
"139","APA",39.570129,-104.849294
"140","APC",38.2131944,-122.2806944
"141","APF",26.152619,-81.775294
"142","APG",39.466219,-76.168808
"143","APN",45.0781,-83.5603
"144","AQC",55.554658,-133.101693
"145","ARA",30.037758,-91.883896
"146","ARB",42.132274,-83.444418
"147","ARC",68.1147,-145.579
"148","ART",43.991922,-76.021739
"149","ARV",45.927778,-89.730833
"150","ASE",39.2232,-106.869
"151","ASH",42.78175,-71.5147778
"152","AST",46.157972,-123.878694
"153","ATK",70.4673,-157.436
"154","ATL",33.636719,-84.428067
"155","ATT",30.31666,-97.7666
"156","ATW",44.257526,-88.507576
"157","ATY",44.914,-97.1547
"158","AUG",44.320647,-69.797317
"159","AUK",62.68,-164.66
"160","AUO",32.3691,-85.2604
"161","AUS",30.194528,-97.669889
"162","AUW",44.9262845,-89.6270018
"163","AVL",35.436194,-82.541806
"164","AVO",27.591389,-81.528889
"165","AVP",41.338478,-75.723403
"166","AVW",32.409556,-111.218388
"167","AVX",33.405,-118.415833
"168","AZA",33.307833,-111.655
"169","AZO",42.234875,-85.552058
"170","BAB",39.136089,-121.436567
"171","BAD",32.50182,-93.662674
"172","BAF",42.1579472,-72.715875
"173","BBX",40.1375,-75.265
"174","BCE",37.706444,-112.145806
"175","BCT",26.3785,-80.107694
"176","BDE",48.728444,-94.612222
"177","BDL",41.938889,-72.683222
"178","BDR",41.163472,-73.126167
"179","BEC",37.6939167,-97.2149167
"180","BED",42.469953,-71.289031
"181","BEH",42.1285833,-86.4285
"182","BET",60.779778,-161.838
"183","BFD",41.8031,-78.6401
"184","BFF",41.874,-103.596
"185","BFI",47.53,-122.301947
"186","BFL",35.433598,-119.05677
"187","BFM",30.626783,-88.068092
"188","BFP",40.7724722,-80.3914444
"189","BFT",32.477411,-80.723161
"190","BGE",30.9715981,-84.6369278
"191","BGM",42.208689,-75.979839
"192","BGR",44.807444,-68.828139
"193","BHB",44.4497689,-68.3615653
"194","BHM",33.562942,-86.75355
"195","BID",41.168056,-71.577778
"196","BIF",31.849528,-106.380039
"197","BIG",63.994547,-145.721642
"198","BIL",45.80921,-108.537654
"199","BIS",46.775842,-100.757931
"200","BIV",42.7427778,-86.1078333
"201","BIX",30.410425,-88.924433
"202","BJC",39.90888888,-105.11722222
"203","BJI",47.510722,-94.934722
"204","BKC",65.981667,-161.149167
"205","BKD",32.719047,-98.891
"206","BKF",39.701668,-104.75166
"207","BKG",36.531994,-93.200556
"208","BKH",22.022833,-159.785
"209","BKL",41.5175,-81.683333
"210","BKW",37.7873,-81.1242
"211","BKX",44.3048,-96.8169
"212","BLD",35.5651,-114.514
"213","BLF",37.2958,-81.2077
"214","BLH",33.619167,-114.716889
"215","BLI",48.792694,-122.537528
"216","BLV",38.545178,-89.835183
"217","BMC",41.552,-112.062
"218","BMG",39.1460208,-86.6166805
"219","BMI",40.477111,-88.915917
"220","BMT",30.0702044,-94.2150967
"221","BMX",59.361247,-155.258822
"222","BNA",36.124472,-86.678194
